anio,instancia,nivel,universo,seccion_id,seccion,localidad,circuito_id,agrupacion_original,agrupacion_homologada,familia,bloque,votos
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0056,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,2455
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0056,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,800
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0057,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,1948
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0057,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,1183
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0058,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,381
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0058,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,97
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0059,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,157
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0059,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,72
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0060,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,1256
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0060,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,289
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0061,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,380
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0061,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,226
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0062,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,930
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0062,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,178
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0063,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,1324
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0063,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,295
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0064,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,854
