anio,instancia,cargo,distrito_id,distrito,seccion_id,seccion,circuito_id,agrupacion,tipo_registro,votos,electores,mesas,recuento_tipo,fuente,particion_comparable
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0026,nulos,nulos,14,1253,4,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0027,CAMBIEMOS,agrupacion,3717,10497,30,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0027,FRENTE PARA LA VICTORIA,agrupacion,4091,10497,30,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0027,blancos,blancos,110,10497,30,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0027,nulos,nulos,121,10497,30,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0028,CAMBIEMOS,agrupacion,165,332,1,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0028,FRENTE PARA LA VICTORIA,agrupacion,105,332,1,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0028,blancos,blancos,2,332,1,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0028,nulos,nulos,2,332,1,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0029,CAMBIEMOS,agrupacion,1637,3857,11,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0029,FRENTE PARA LA VICTORIA,agrupacion,1400,3857,11,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0029,blancos,blancos,53,3857,11,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0029,nulos,nulos,25,3857,11,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0030,CAMBIEMOS,agrupacion,1252,2208,7,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0030,FRENTE PARA LA VICTORIA,agrupacion,540,2208,7,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0030,blancos,blancos,20,2208,7,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0030,nulos,nulos,1,2208,7,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0031,CAMBIEMOS,agrupacion,544,892,3,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0031,FRENTE PARA LA VICTORIA,agrupacion,226,892,3,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0031,blancos,blancos,6,892,3,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0031,nulos,nulos,0,892,3,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0032,CAMBIEMOS,agrupacion,12762,30464,87,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0032,FRENTE PARA LA VICTORIA,agrupacion,9657,30464,87,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0032,blancos,blancos,268,30464,87,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0032,nulos,nulos,442,30464,87,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0033,CAMBIEMOS,agrupacion,3819,9500,27,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0033,FRENTE PARA LA VICTORIA,agrupacion,3392,9500,27,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0033,blancos,blancos,59,9500,27,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0033,nulos,nulos,146,9500,27,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0034,CAMBIEMOS,agrupacion,447,1974,6,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0034,FRENTE PARA LA VICTORIA,agrupacion,912,1974,6,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0034,blancos,blancos,12,1974,6,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0034,nulos,nulos,27,1974,6,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0035,CAMBIEMOS,agrupacion,2600,9011,26,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0035,FRENTE PARA LA VICTORIA,agrupacion,3120,9011,26,PROVISORIO,polar_atlas_andytow,si
