anio,instancia,cargo,distrito_id,distrito,seccion_id,mesas,electores,votantes,agrupacion,lista,tipo_registro,votos,recuento_tipo,fuente,particion_comparable
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,13,616,209315,154469,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,,agrupacion,3651,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,13,616,209315,154469,ALIANZA PROYECTO SUR,,agrupacion,2444,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,13,616,209315,154469,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,,agrupacion,7867,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,13,616,209315,154469,DEL CAMPO POPULAR,,agrupacion,244,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,13,616,209315,154469,COALICION CIVICA ARI,,agrupacion,7721,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,13,616,209315,154469,MOVIMIENTO DE ACCION VECINAL,,agrupacion,55,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,13,616,209315,154469,ALIANZA FRENTE PARA LA VICTORIA,,agrupacion,31184,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,13,616,209315,154469,ALIANZA FRENTE POPULAR,,agrupacion,19106,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,13,616,209315,154469,ALIANZA COMPROMISO FEDERAL,,agrupacion,6470,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,13,616,209315,154469,ALIANZA FRENTE AMPLIO PROGRESISTA,,agrupacion,71493,PROVISORIO,api_dine,no
