circuito_id,seccion_id,seccion,localidad,mesas,electores,anio_referencia
02490,9,General Obligado,,1,123,2023
02510,10,Vera,,30,10191,2023
02520,10,Vera,,11,3744,2023
02530,10,Vera,,7,2238,2023
02540,10,Vera,,54,18621,2023
02545,10,Vera,,1,188,2023
02550,10,Vera,,1,81,2023
02560,10,Vera,,2,659,2023
02570,10,Vera,,5,1542,2023
02580,10,Vera,,1,148,2023
02590,10,Vera,,4,1185,2023
02600,10,Vera,,6,1902,2023
02610,10,Vera,,2,366,2023
02620,10,Vera,,2,490,2023
02630,10,Vera,,4,1073,2023
02640,10,Vera,,2,353,2023
02670,10,Vera,,1,56,2023
02680,10,Vera,,8,2470,2023
02682,10,Vera,,2,445,2023
02684,10,Vera,,1,179,2023
02690,10,Vera,,1,292,2023
02700,10,Vera,,1,59,2023
02710,10,Vera,,1,19,2023
02740,11,San Javier,,1,348,2023
02750,11,San Javier,,41,14016,2023
02755,11,San Javier,,3,782,2023
02758,11,San Javier,,2,688,2023
02760,11,San Javier,,9,3062,2023
02762,11,San Javier,,1,11,2023
02764,11,San Javier,,1,30,2023
02766,11,San Javier,,1,223,2023
02770,11,San Javier,,22,7596,2023
02772,11,San Javier,,1,31,2023
02774,11,San Javier,,1,44,2023
02780,11,San Javier,,1,12,2023
02790,11,San Javier,,2,578,2023
02800,11,San Javier,,2,402,2023
02810,11,San Javier,,1,15,2023
02830,12,9 de Julio,,1,208,2023
02840,12,9 de Julio,,2,678,2023
02850,12,9 de Julio,,43,15003,2023
02852,12,9 de Julio,,3,1009,2023
02854,12,9 de Julio,,1,28,2023
02860,12,9 de Julio,,1,30,2023
02870,12,9 de Julio,,2,664,2023
02890,12,9 de Julio,,6,1792,2023
02900,12,9 de Julio,,1,220,2023
02910,12,9 de Julio,,16,5315,2023
02920,12,9 de Julio,,2,701,2023
02930,12,9 de Julio,,3,1041,2023
02940,12,9 de Julio,,1,109,2023
03010,13,Rosario,,16,5418,2023
03015,13,Rosario,,21,7159,2023
03020,13,Rosario,,12,3986,2023
03025,13,Rosario,,15,5026,2023
03030,13,Rosario,,15,4921,2023
03035,13,Rosario,,13,4210,2023
03040,13,Rosario,,18,6165,2023
03045,13,Rosario,,12,4001,2023
03050,13,Rosario,,7,2423,2023
03055,13,Rosario,,7,2140,2023
03060,13,Rosario,,7,2136,2023
03065,13,Rosario,,14,4641,2023
03070,13,Rosario,,14,4798,2023
03075,13,Rosario,,12,4185,2023
03080,13,Rosario,,10,3502,2023
03085,13,Rosario,,18,6198,2023
03090,13,Rosario,,16,5353,2023
03095,13,Rosario,,16,5449,2023
03100,13,Rosario,,12,3880,2023
03105,13,Rosario,,16,5406,2023
03110,13,Rosario,,13,4314,2023
03115,13,Rosario,,11,3586,2023
03120,13,Rosario,,25,8502,2023
03125,13,Rosario,,12,3977,2023
03130,13,Rosario,,11,3691,2023
03135,13,Rosario,,15,5060,2023
03140,13,Rosario,,17,5739,2023
03145,13,Rosario,,20,6734,2023
03150,13,Rosario,,42,14542,2023
03155,13,Rosario,,22,7665,2023
03160,13,Rosario,,17,5883,2023
03165,13,Rosario,,15,5081,2023
03170,13,Rosario,,27,9147,2023
03175,13,Rosario,,34,11749,2023
03180,13,Rosario,,10,3268,2023
03185,13,Rosario,,14,4816,2023
03190,13,Rosario,,10,3354,2023
03195,13,Rosario,,15,5079,2023
03200,13,Rosario,,17,5745,2023
03205,13,Rosario,,24,8318,2023
03210,13,Rosario,,100,34864,2023
03220,13,Rosario,,57,19890,2023
03230,13,Rosario,,46,16111,2023
03240,13,Rosario,,46,15801,2023
03250,13,Rosario,,67,23286,2023
03260,13,Rosario,,201,70256,2023
03270,13,Rosario,,65,22756,2023
03280,13,Rosario,,153,53355,2023
03290,13,Rosario,,84,29227,2023
03300,13,Rosario,,156,54680,2023
03310,13,Rosario,,80,27865,2023
03320,13,Rosario,,18,6262,2023
03330,13,Rosario,,1,258,2023
03340,13,Rosario,,87,30395,2023
03350,13,Rosario,,118,41181,2023
03360,13,Rosario,,56,19563,2023
03370,13,Rosario,,32,10928,2023
