anio,instancia,cargo,distrito_id,distrito,recuento_tipo,fuente,nivel,seccion_id,circuito_id,mesas,electores,votantes,agrupacion,lista,tipo_registro,votos
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,9,,837,288213,207080,COALICION CIVICA ARI,,agrupacion,8301
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,9,,837,288213,207080,MOVIMIENTO DE ACCION VECINAL,,agrupacion,663
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,9,,837,288213,207080,ALIANZA FRENTE PARA LA VICTORIA,,agrupacion,75862
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,9,,837,288213,207080,ALIANZA FRENTE POPULAR,,agrupacion,19616
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,9,,837,288213,207080,ALIANZA COMPROMISO FEDERAL,,agrupacion,7107
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,9,,837,288213,207080,ALIANZA FRENTE AMPLIO PROGRESISTA,,agrupacion,70769
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,9,,837,288213,207080,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,,agrupacion,2812
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,9,,837,288213,207080,ALIANZA PROYECTO SUR,,agrupacion,1611
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,9,,837,288213,207080,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,,agrupacion,11799
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,9,,837,288213,207080,nulos,,nulos,3756
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,9,,837,288213,207080,blancos,,blancos,2720
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,9,,837,288213,207080,recurridos,,recurridos,1537
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,10,,296,100797,74923,ALIANZA FRENTE PARA LA VICTORIA,,agrupacion,28432
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,10,,296,100797,74923,ALIANZA FRENTE POPULAR,,agrupacion,7814
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,10,,296,100797,74923,ALIANZA COMPROMISO FEDERAL,,agrupacion,2834
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,10,,296,100797,74923,ALIANZA FRENTE AMPLIO PROGRESISTA,,agrupacion,25508
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,10,,296,100797,74923,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,,agrupacion,877
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,10,,296,100797,74923,ALIANZA PROYECTO SUR,,agrupacion,325
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,10,,296,100797,74923,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,,agrupacion,3847
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,10,,296,100797,74923,DEL CAMPO POPULAR,,agrupacion,178
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,10,,296,100797,74923,COALICION CIVICA ARI,,agrupacion,2429
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,10,,296,100797,74923,MOVIMIENTO DE ACCION VECINAL,,agrupacion,256
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,10,,296,100797,74923,nulos,,nulos,1350
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,10,,296,100797,74923,blancos,,blancos,993
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,10,,296,100797,74923,recurridos,,recurridos,80
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,11,,244,77516,61794,DEL CAMPO POPULAR,,agrupacion,129
