eleccion_id,ambito,distrito,tipo_voto,agrupacion_key,nombre_fuente,formula,votos,fuente_id
2007-GENERAL,PROVINCIA,Santa Fe,POSITIVO,ALIANZA_FRENTE_JUSTICIA_UNION_Y_LIBERTAD,"Alianza Frente Justicia, Unión y Libertad",RODRÍGUEZ SAÁ - MAYA,131663,CONTROL_resultados_2007_presidente_y_vicepresidente_SANTA_FE
2007-GENERAL,PROVINCIA,Santa Fe,POSITIVO,SOCIALISTA_AUTENTICO,Socialista Auténtico,SOLANAS - CADELLI,36629,CONTROL_resultados_2007_presidente_y_vicepresidente_SANTA_FE
2007-GENERAL,PROVINCIA,Santa Fe,POSITIVO,RECREAR_PARA_EL_CRECIMIENTO,Recrear para el Crecimiento,LÓPEZ MURPHY - BULLRICH,18215,CONTROL_resultados_2007_presidente_y_vicepresidente_SANTA_FE
2007-GENERAL,PROVINCIA,Santa Fe,POSITIVO,EL_MOVIMIENTO_DE_LAS_PROVINCIAS_UNIDAS_UNION_POPULAR_MOVIMIENTO_DE_ACCION_VECINAL_MOVIMIENTO_POR_LA_DIGNIDAD_Y_LA_INDEPENDENCIA,El Movimiento de las Provincias Unidas - Unión Popular - Movimiento de Acción Vecinal - Movimiento por la Dignidad y la Independencia,SOBISCH - ASÍS,16483,CONTROL_resultados_2007_presidente_y_vicepresidente_SANTA_FE
2007-GENERAL,PROVINCIA,Santa Fe,POSITIVO,MOVIMIENTO_SOCIALISTA_DE_LOS_TRABAJADORES,Movimiento Socialista de los Trabajadores,RIPOLL - BIDONDE,8784,CONTROL_resultados_2007_presidente_y_vicepresidente_SANTA_FE
2007-GENERAL,PROVINCIA,Santa Fe,POSITIVO,OBRERO,Obrero,PITROLA - ARROYOS,7807,CONTROL_resultados_2007_presidente_y_vicepresidente_SANTA_FE
2007-GENERAL,PROVINCIA,Santa Fe,POSITIVO,ALIANZA_FRENTE_AMPLIO_HACIA_LA_UNIDAD_LATINOAMERICANA,Alianza Frente Amplio hacia la Unidad Latinoamericana,AMMANN - DELEONARDI,5789,CONTROL_resultados_2007_presidente_y_vicepresidente_SANTA_FE
2007-GENERAL,PROVINCIA,Santa Fe,POSITIVO,ALIANZA_FRENTE_DE_LOS_TRABAJADORES_SOCIALISTAS_MOVIMIENTO_AL_SOCIALISMO_IZQUIERDA_SOCIALISTA,Alianza Frente de los Trabajadores Socialistas - Movimiento al Socialismo - Izquierda Socialista,MONTES - HEBERLING,4896,CONTROL_resultados_2007_presidente_y_vicepresidente_SANTA_FE
2007-GENERAL,PROVINCIA,Santa Fe,POSITIVO,MOVIMIENTO_INDEPENDIENTE_DE_JUBILADOS_Y_DESOCUPADOS,Movimiento Independiente de Jubilados y Desocupados,CASTELLS - PELOZO,4194,CONTROL_resultados_2007_presidente_y_vicepresidente_SANTA_FE
2007-GENERAL,PROVINCIA,Santa Fe,POSITIVO,POPULAR_DE_LA_RECONSTRUCCION,Popular de la Reconstrucción,BREIDE OBEID - VERGARA,2340,CONTROL_resultados_2007_presidente_y_vicepresidente_SANTA_FE
2007-GENERAL,PROVINCIA,Santa Fe,POSITIVO,CONFEDERACION_LEALTAD_POPULAR,Confederación Lealtad Popular,MUSSA - NESPRAL,100,CONTROL_resultados_2007_presidente_y_vicepresidente_SANTA_FE
2007-GENERAL,PROVINCIA,Santa Fe,BLANCO,,,,71053,CONTROL_resultados_2007_presidente_y_vicepresidente_SANTA_FE
2007-GENERAL,PROVINCIA,Santa Fe,NULO,,,,13826,CONTROL_resultados_2007_presidente_y_vicepresidente_SANTA_FE
2011-PASO,PAIS,Total pais,POSITIVO,ALIANZA_FRENTE_PARA_LA_VICTORIA,Alianza Frente para la Victoria,FERNÁNDEZ DE KIRCHNER - BOUDOU,10762217,CONTROL_resultados_2011_eleccion_paso_presidente_y_vicepresidente_NACIONALES
2011-PASO,PAIS,Total pais,POSITIVO,ALIANZA_UNION_PARA_EL_DESARROLLO_SOCIAL,Alianza Unión para el Desarrollo Social,ALFONSÍN - GONZÁLEZ FRAGA,2614211,CONTROL_resultados_2011_eleccion_paso_presidente_y_vicepresidente_NACIONALES
2011-PASO,PAIS,Total pais,POSITIVO,ALIANZA_FRENTE_POPULAR,Alianza Frente Popular,DUHALDE - DAS NEVES,2595996,CONTROL_resultados_2011_eleccion_paso_presidente_y_vicepresidente_NACIONALES
2011-PASO,PAIS,Total pais,POSITIVO,ALIANZA_FRENTE_AMPLIO_PROGRESISTA,Alianza Frente Amplio Progresista,BINNER - MORANDINI,2180110,CONTROL_resultados_2011_eleccion_paso_presidente_y_vicepresidente_NACIONALES
2011-PASO,PAIS,Total pais,POSITIVO,ALIANZA_COMPROMISO_FEDERAL,Alianza Compromiso Federal,RODRÍGUEZ SAÁ - VERNET,1749971,CONTROL_resultados_2011_eleccion_paso_presidente_y_vicepresidente_NACIONALES
2011-PASO,PAIS,Total pais,POSITIVO,COALICION_CIVICA_AFIRMACION_PARA_UNA_REPUBLICA_IGUALITARIA,Coalición Cívica - Afirmación para una República Igualitaria,CARRIÓ - PÉREZ,689033,CONTROL_resultados_2011_eleccion_paso_presidente_y_vicepresidente_NACIONALES
2011-PASO,PAIS,Total pais,POSITIVO,ALIANZA_FRENTE_DE_IZQUIERDA_Y_DE_LOS_TRABAJADORES,Alianza Frente de Izquierda y de los Trabajadores,ALTAMIRA- CASTILLO,527237,CONTROL_resultados_2011_eleccion_paso_presidente_y_vicepresidente_NACIONALES
2011-PASO,PAIS,Total pais,POSITIVO,ALIANZA_PROYECTO_SUR,Alianza Proyecto Sur,ARGUMEDO - CARDELLI,190094,CONTROL_resultados_2011_eleccion_paso_presidente_y_vicepresidente_NACIONALES
2011-PASO,PAIS,Total pais,POSITIVO,MOVIMIENTO_DE_ACCION_VECINAL,Movimiento de Acción Vecinal,PASTORE - RODRÍGUEZ,65031,CONTROL_resultados_2011_eleccion_paso_presidente_y_vicepresidente_NACIONALES
2011-PASO,PAIS,Total pais,POSITIVO,DEL_CAMPO_POPULAR,Del Campo Popular,BONACCI - VILLENA,48774,CONTROL_resultados_2011_eleccion_paso_presidente_y_vicepresidente_NACIONALES
2011-PASO,PAIS,Total pais,BLANCO,,,,1007753,CONTROL_resultados_2011_eleccion_paso_presidente_y_vicepresidente_NACIONALES
2011-PASO,PAIS,Total pais,NULO,,,,274951,CONTROL_resultados_2011_eleccion_paso_presidente_y_vicepresidente_NACIONALES
2011-PASO,PROVINCIA,Santa Fe,POSITIVO,ALIANZA_FRENTE_PARA_LA_VICTORIA,Alianza Frente para la Victoria,FERNÁNDEZ DE KIRCHNER - BOUDOU,676812,CONTROL_resultados_2011_eleccion_paso_presidente_y_vicepresidente_SANTA_FE
2011-PASO,PROVINCIA,Santa Fe,POSITIVO,ALIANZA_FRENTE_AMPLIO_PROGRESISTA,Alianza Frente Amplio Progresista,BINNER - MORANDINI,585682,CONTROL_resultados_2011_eleccion_paso_presidente_y_vicepresidente_SANTA_FE
2011-PASO,PROVINCIA,Santa Fe,POSITIVO,ALIANZA_FRENTE_POPULAR,Alianza Frente Popular,DUHALDE - DAS NEVES,207293,CONTROL_resultados_2011_eleccion_paso_presidente_y_vicepresidente_SANTA_FE
2011-PASO,PROVINCIA,Santa Fe,POSITIVO,ALIANZA_UNION_PARA_EL_DESARROLLO_SOCIAL,Alianza Unión para el Desarrollo Social,ALFONSÍN - GONZÁLEZ FRAGA,116807,CONTROL_resultados_2011_eleccion_paso_presidente_y_vicepresidente_SANTA_FE
2011-PASO,PROVINCIA,Santa Fe,POSITIVO,ALIANZA_COMPROMISO_FEDERAL,Alianza Compromiso Federal,RODRÍGUEZ SAÁ - VERNET,97738,CONTROL_resultados_2011_eleccion_paso_presidente_y_vicepresidente_SANTA_FE
2011-PASO,PROVINCIA,Santa Fe,POSITIVO,COALICION_CIVICA_AFIRMACION_PARA_UNA_REPUBLICA_IGUALITARIA,Coalición Cívica - Afirmación para una República Igualitaria,CARRIÓ - PÉREZ,59151,CONTROL_resultados_2011_eleccion_paso_presidente_y_vicepresidente_SANTA_FE
2011-PASO,PROVINCIA,Santa Fe,POSITIVO,ALIANZA_FRENTE_DE_IZQUIERDA_Y_DE_LOS_TRABAJADORES,Alianza Frente de Izquierda y de los Trabajadores,ALTAMIRA- CASTILLO,23983,CONTROL_resultados_2011_eleccion_paso_presidente_y_vicepresidente_SANTA_FE
2011-PASO,PROVINCIA,Santa Fe,POSITIVO,ALIANZA_PROYECTO_SUR,Alianza Proyecto Sur,ARGUMEDO - CARDELLI,12573,CONTROL_resultados_2011_eleccion_paso_presidente_y_vicepresidente_SANTA_FE
2011-PASO,PROVINCIA,Santa Fe,POSITIVO,DEL_CAMPO_POPULAR,Del Campo Popular,BONACCI - VILLENA,3636,CONTROL_resultados_2011_eleccion_paso_presidente_y_vicepresidente_SANTA_FE
2011-PASO,PROVINCIA,Santa Fe,POSITIVO,MOVIMIENTO_DE_ACCION_VECINAL,Movimiento de Acción Vecinal,PASTORE - RODRÍGUEZ,1867,CONTROL_resultados_2011_eleccion_paso_presidente_y_vicepresidente_SANTA_FE
2011-PASO,PROVINCIA,Santa Fe,BLANCO,,,,31694,CONTROL_resultados_2011_eleccion_paso_presidente_y_vicepresidente_SANTA_FE
2011-PASO,PROVINCIA,Santa Fe,NULO,,,,27035,CONTROL_resultados_2011_eleccion_paso_presidente_y_vicepresidente_SANTA_FE
2011-GENERAL,PAIS,Total pais,POSITIVO,ALIANZA_FRENTE_PARA_LA_VICTORIA,Alianza Frente para la Victoria,FERNÁNDEZ DE KIRCHNER - BOUDOU,11865055,CONTROL_resultados_2011_generales_presidente_y_vicepresidente_NACIONALES
2011-GENERAL,PAIS,Total pais,POSITIVO,ALIANZA_FRENTE_AMPLIO_PROGRESISTA,Alianza Frente Amplio Progresista,BINNER - MORANDINI,3684970,CONTROL_resultados_2011_generales_presidente_y_vicepresidente_NACIONALES
2011-GENERAL,PAIS,Total pais,POSITIVO,ALIANZA_UNION_PARA_EL_DESARROLLO_SOCIAL,Alianza Unión para el Desarrollo Social,ALFONSÍN - GONZÁLEZ FRAGA,2443016,CONTROL_resultados_2011_generales_presidente_y_vicepresidente_NACIONALES
2011-GENERAL,PAIS,Total pais,POSITIVO,ALIANZA_COMPROMISO_FEDERAL,Alianza Compromiso Federal,RODRÍGUEZ SAÁ - VERNET,1745354,CONTROL_resultados_2011_generales_presidente_y_vicepresidente_NACIONALES
2011-GENERAL,PAIS,Total pais,POSITIVO,ALIANZA_FRENTE_POPULAR,Alianza Frente Popular,DUHALDE - DAS NEVES,1285830,CONTROL_resultados_2011_generales_presidente_y_vicepresidente_NACIONALES
2011-GENERAL,PAIS,Total pais,POSITIVO,ALIANZA_FRENTE_DE_IZQUIERDA_Y_DE_LOS_TRABAJADORES,Alianza Frente de Izquierda y de los Trabajadores,ALTAMIRA- CASTILLO,503372,CONTROL_resultados_2011_generales_presidente_y_vicepresidente_NACIONALES
2011-GENERAL,PAIS,Total pais,POSITIVO,COALICION_CIVICA_AFIRMACION_PARA_UNA_REPUBLICA_IGUALITARIA,Coalición Cívica - Afirmación para una República Igualitaria,CARRIÓ - PÉREZ,399685,CONTROL_resultados_2011_generales_presidente_y_vicepresidente_NACIONALES
2011-GENERAL,PAIS,Total pais,BLANCO,,,,803362,CONTROL_resultados_2011_generales_presidente_y_vicepresidente_NACIONALES
2011-GENERAL,PAIS,Total pais,NULO,,,,225741,CONTROL_resultados_2011_generales_presidente_y_vicepresidente_NACIONALES
2011-GENERAL,PROVINCIA,Santa Fe,POSITIVO,ALIANZA_FRENTE_PARA_LA_VICTORIA,Alianza Frente para la Victoria,FERNÁNDEZ DE KIRCHNER - BOUDOU,758721,CONTROL_resultados_2011_generales_presidente_y_vicepresidente_SANTA_FE
2011-GENERAL,PROVINCIA,Santa Fe,POSITIVO,ALIANZA_FRENTE_AMPLIO_PROGRESISTA,Alianza Frente Amplio Progresista,BINNER - MORANDINI,707088,CONTROL_resultados_2011_generales_presidente_y_vicepresidente_SANTA_FE
2011-GENERAL,PROVINCIA,Santa Fe,POSITIVO,ALIANZA_UNION_PARA_EL_DESARROLLO_SOCIAL,Alianza Unión para el Desarrollo Social,ALFONSÍN - GONZÁLEZ FRAGA,103221,CONTROL_resultados_2011_generales_presidente_y_vicepresidente_SANTA_FE
2011-GENERAL,PROVINCIA,Santa Fe,POSITIVO,ALIANZA_FRENTE_POPULAR,Alianza Frente Popular,DUHALDE - DAS NEVES,91233,CONTROL_resultados_2011_generales_presidente_y_vicepresidente_SANTA_FE
2011-GENERAL,PROVINCIA,Santa Fe,POSITIVO,ALIANZA_COMPROMISO_FEDERAL,Alianza Compromiso Federal,RODRÍGUEZ SAÁ - VERNET,86760,CONTROL_resultados_2011_generales_presidente_y_vicepresidente_SANTA_FE
2011-GENERAL,PROVINCIA,Santa Fe,POSITIVO,ALIANZA_FRENTE_DE_IZQUIERDA_Y_DE_LOS_TRABAJADORES,Alianza Frente de Izquierda y de los Trabajadores,ALTAMIRA - CASTILLO,31107,CONTROL_resultados_2011_generales_presidente_y_vicepresidente_SANTA_FE
2011-GENERAL,PROVINCIA,Santa Fe,POSITIVO,COALICION_CIVICA_AFIRMACION_PARA_UNA_REPUBLICA_IGUALITARIA,Coalición Cívica - Afirmación para una República Igualitaria,CARRIÓ - PÉREZ,30218,CONTROL_resultados_2011_generales_presidente_y_vicepresidente_SANTA_FE
2011-GENERAL,PROVINCIA,Santa Fe,BLANCO,,,,26526,CONTROL_resultados_2011_generales_presidente_y_vicepresidente_SANTA_FE
2011-GENERAL,PROVINCIA,Santa Fe,NULO,,,,19333,CONTROL_resultados_2011_generales_presidente_y_vicepresidente_SANTA_FE
2015-PASO,PAIS,Total pais,POSITIVO,ALIANZA_FRENTE_PARA_LA_VICTORIA,ALIANZA FRENTE PARA LA VICTORIA,,8720573,CONTROL_resultados_2015_elecciones_paso_presidente_y_vicepresidente_NACIONAL
2015-PASO,PAIS,Total pais,POSITIVO,ALIANZA_CAMBIEMOS,ALIANZA CAMBIEMOS,,6791278,CONTROL_resultados_2015_elecciones_paso_presidente_y_vicepresidente_NACIONAL
2015-PASO,PAIS,Total pais,POSITIVO,ALIANZA_UNIDOS_POR_UNA_NUEVA_ALTERNATIVA_UNA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),,4639405,CONTROL_resultados_2015_elecciones_paso_presidente_y_vicepresidente_NACIONAL
